DFDATE,MC_ID,MODEL,QTY,DEFECT_CODE,DEFECT_DESC,DEFECT_DESC_TH
12/07/24 04:11,PL-242,1P375392-1,3,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
12/07/24 09:06,PL-242,1P375392-1,4,PLCAUSE012,L-SCRAPE,เสียจากเเม่พิมพ์
12/07/24 09:15,PL-242,1P375392-1,5,PLCAUSE012,L-SCRAPE,เสียจากเเม่พิมพ์
12/07/24 09:15,PL-242,1P375392-1,1,PLCAUSE012,L-SCRAPE,เสียจากเเม่พิมพ์
12/07/24 09:43,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
12/07/24 09:48,PL-242,1P375392-1,1,PLCAUSE006,M-SCRATCH,"เป็นรอย, ถลอก"
12/07/24 10:15,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
12/07/24 10:31,PL-242,1P375392-1,2,PLCAUSE006,M-SCRATCH,"เป็นรอย, ถลอก"
12/07/24 10:56,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
12/07/24 11:02,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
12/07/24 11:29,PL-242,1P375392-1,1,PLCAUSE006,M-SCRATCH,"เป็นรอย, ถลอก"
12/07/24 13:03,PL-242,1P375392-1,1,PLCAUSE006,M-SCRATCH,"เป็นรอย, ถลอก"
12/07/24 13:33,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
12/07/24 15:27,PL-242,1P375392-1,1,PLCAUSE006,M-SCRATCH,"เป็นรอย, ถลอก"
12/07/24 15:40,PL-242,1P375392-1,1,PLCAUSE006,M-SCRATCH,"เป็นรอย, ถลอก"
12/07/24 16:14,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
12/07/24 16:45,PL-242,1P375392-1,10,PLCAUSE004,M-COLOR DIFFERENT,"สีต่าง, สีเพี้ยน"
12/07/24 16:45,PL-242,1P375392-1,4,PLCAUSE004,M-COLOR DIFFERENT,"สีต่าง, สีเพี้ยน"
15/07/24 10:50,PL-242,1P375392-1,10,PLCAUSE011,L-SCRAPE,เสียจากเครื่องจักร
15/07/24 10:58,PL-242,1P375392-1,10,PLCAUSE011,L-SCRAPE,เสียจากเครื่องจักร
15/07/24 10:59,PL-242,1P375392-1,1,PLCAUSE011,L-SCRAPE,เสียจากเครื่องจักร
15/07/24 11:22,PL-242,1P375392-1,4,PLCAUSE011,L-SCRAPE,เสียจากเครื่องจักร
15/07/24 11:28,PL-242,1P375392-1,5,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
15/07/24 11:29,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
15/07/24 11:31,PL-242,1P375392-1,2,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
15/07/24 11:38,PL-242,1P375392-1,2,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
15/07/24 11:43,PL-242,1P375392-1,2,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
15/07/24 11:54,PL-242,1P375392-1,3,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
15/07/24 12:01,PL-242,1P375392-1,2,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
15/07/24 12:18,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
15/07/24 12:30,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
15/07/24 12:36,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
15/07/24 12:44,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
15/07/24 12:51,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
15/07/24 13:22,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
15/07/24 13:54,PL-242,1P375392-1,1,PLCAUSE005,M-DENT,"รอยบุบ, จิก, นูน, เว้า"
15/07/24 14:08,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
15/07/24 14:18,PL-242,1P375392-1,2,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
15/07/24 14:43,PL-242,1P375392-1,1,PLCAUSE005,M-DENT,"รอยบุบ, จิก, นูน, เว้า"
15/07/24 14:46,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
15/07/24 14:54,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
15/07/24 14:57,PL-242,1P375392-1,1,PLCAUSE005,M-DENT,"รอยบุบ, จิก, นูน, เว้า"
15/07/24 15:23,PL-242,1P375392-1,6,PLCAUSE004,M-COLOR DIFFERENT,"สีต่าง, สีเพี้ยน"
15/07/24 15:41,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
15/07/24 16:00,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
15/07/24 16:33,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
15/07/24 16:54,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
15/07/24 17:47,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
